network,week,pct,rm
CNN,2015.712,0.1691542288557214,0.1699146076340984
CNN,2015.731,0.20098039215686275,0.14332331785185384
CNN,2015.75,0.14285714285714285,0.12236177485593298
CNN,2015.769,0.06030150753768844,0.11709022179026227
CNN,2015.788,0.08530805687203792,0.1005146920568378
CNN,2015.808,0.17989417989417988,0.1051022365207303
CNN,2015.827,0.07655502392344497,0.09839510534365649
CNN,2015.846,0.07865168539325842,0.06258386403503298
CNN,2015.865,0.05847953216374269,0.05887720681960383
CNN,2015.885,0.03664921465968586,0.059348513659208686
CNN,2015.904,0.06172839506172839,0.08728182210763472
CNN,2015.923,0.08053691275167785,0.11448315480634962
CNN,2015.942,0.1702127659574468,0.13885997323836974
CNN,2015.962,0.14545454545454545,0.15526420658891182
CNN,2015.981,0.1592356687898089,0.15185242924096426
CNN,2016,0.14615384615384616,0.13712340826194327
CNN,2016.019,0.15656565656565657,0.13617459469143406
CNN,2016.038,0.08653846153846154,0.14762720458154396
CNN,2016.058,0.15544041450777202,0.154441672793071
CNN,2016.077,0.19196428571428573,0.17352675437815257
CNN,2016.096,0.18382352941176472,0.16664339493725608
CNN,2016.115,0.16287878787878787,0.17228868714504827
CNN,2016.135,0.12790697674418605,0.206579718372354
CNN,2016.154,0.21454545454545454,0.22908676558870356
CNN,2016.173,0.32098765432098764,0.2807013526720069
CNN,2016.192,0.25290697674418605,0.28649121854383996
CNN,2016.212,0.33436532507739936,0.27053001924930736
CNN,2016.231,0.23770491803278687,0.25638302966448784
CNN,2016.25,0.2571428571428571,0.21495146170874746
CNN,2016.269,0.19631901840490798,0.20348120704331804
CNN,2016.288,0.16863905325443787,0.18803655236025277
CNN,2016.308,0.1918238993710692,0.21960195904934834
CNN,2016.327,0.19536423841059603,0.2780427963363395
CNN,2016.346,0.3225806451612903,0.3095570201690689
CNN,2016.365,0.4024024024024024,0.3284393035059011
CNN,2016.385,0.31788079470198677,0.32730233893689004
CNN,2016.404,0.27089337175792505,0.31003507166962274
CNN,2016.423,0.3180327868852459,0.27088745363928735
CNN,2016.442,0.3333333333333333,0.262852692014685
CNN,2016.462,0.16129032258064516,0.22287937901430374
CNN,2016.481,0.23875432525951557,0.1770460456809704
CNN,2016.5,0.15813953488372093,0.1744593140924129
CNN,2016.519,0.15,0.19714621170473706
CNN,2016.538,0.1509433962264151,0.1977232682823143
CNN,2016.558,0.32950191570881227,0.24845856239996136
CNN,2016.577,0.16044776119402984,0.30154302584335757
CNN,2016.596,0.35294117647058826,0.3110478887964964
CNN,2016.615,0.36328125,0.35572615828819876
CNN,2016.635,0.36752136752136755,0.35690692256471224
CNN,2016.654,0.33916083916083917,0.33709828321646323
CNN,2016.673,0.35766423357664234,0.32384697359418585
CNN,2016.692,0.2840466926070039,0.2878372516088541
CNN,2016.712,0.31451612903225806,0.27270234337443794
CNN,2016.731,0.1951219512195122,0.2809589629056138
CNN,2016.75,0.2971246006389776,0.32640400472162334
CNN,2016.769,0.3170731707317073,0.3841694779195308
CNN,2016.788,0.4962962962962963,0.38896996041284765
CNN,2016.808,0.42618384401114207,0.3662492867775399
CNN,2016.827,0.3163265306122449,0.3342041982107122
CNN,2016.846,0.2261904761904762,0.3522980066603762
CNN,2016.865,0.3681159420289855,0.40255665178509276
CNN,2016.885,0.49855907780979825,0.43834352751099287
CNN,2016.904,0.5173611111111112,0.4429222116202657
CNN,2016.923,0.3693379790940767,0.39982090370627765
CNN,2016.942,0.3864306784660767,0.3220190874669614
CNN,2016.962,0.3261538461538461,0.27349902568313295
CNN,2016.981,0.20615384615384616,0.24445892363418134
CNN,2017,0.17525773195876287,0.2589412233413946
CNN,2017.019,0.2702702702702703,0.3260333350513407
CNN,2017.038,0.38408304498269896,0.4220494105362262
CNN,2017.058,0.4745222929936306,0.4612856404370131
CNN,2017.077,0.559322033898305,0.4675684022265687
CNN,2017.096,0.4272151898734177,0.4588412106206731
CNN,2017.115,0.4092140921409214,0.4002607021460969
CNN,2017.135,0.4396135265700483,0.39320752811913895
CNN,2017.154,0.325,0.37044945962936315
CNN,2017.173,0.39900249376558605,0.34232799288046806
CNN,2017.192,0.3181818181818182,0.3306656217464475
CNN,2017.212,0.3271276595744681,0.29288682929096643
CNN,2017.231,0.27835051546391754,0.2811767405991704
CNN,2017.25,0.24788732394366197,0.25837369894499
CNN,2017.269,0.27134146341463417,0.25959531863392393
CNN,2017.288,0.23591549295774647,0.2901293424489452
CNN,2017.308,0.2832369942196532,0.3092504983344171
CNN,2017.327,0.3700234192037471,0.3347543837156702
CNN,2017.346,0.34782608695652173,0.36256898837176604
CNN,2017.365,0.33793103448275863,0.3481362232718259
CNN,2017.385,0.3944954128440367,0.34000853036152434
CNN,2017.404,0.3122923588039867,0.338859105074168
CNN,2017.423,0.3153153153153153,0.3112878834421062
CNN,2017.442,0.3333333333333333,0.28353428255900087
CNN,2017.462,0.28421052631578947,0.277839782088381
CNN,2017.481,0.2012779552715655,0.30359735784595676
CNN,2017.5,0.29253731343283584,0.36034741684996907
CNN,2017.519,0.43636363636363634,0.4061817741859238
CNN,2017.538,0.5112107623318386,0.40880502158529064
CNN,2017.558,0.38461538461538464,0.3987400865203556
CNN,2017.577,0.30303030303030304,0.3761562511562512
CNN,2017.596,0.3961038961038961,0.3849294123016751
CNN,2017.615,0.4208754208754209,0.4085409217176009
CNN,2017.635,0.4197080291970803,0.35412774230442146
CNN,2017.654,0.39747634069400634,0.2886615372622447
CNN,2017.673,0.17845117845117844,0.22926433128747792
CNN,2017.692,0.15901060070671377,0.1904488793319694
