network,week,n,t,pct,rm,date
CNN,2015.712,37,222,0.16666666666666666,0.16529649369804236,2015-09-10
CNN,2015.731,47,240,0.19583333333333333,0.14387175324675325,2015-09-17
CNN,2015.75,23,165,0.1393939393939394,0.12667317168646955,2015-09-24
CNN,2015.769,17,231,0.0735930735930736,0.12478596806024919,2015-10-01
CNN,2015.788,23,235,0.09787234042553192,0.11015024916921115,2015-10-08
CNN,2015.808,45,239,0.18828451882845187,0.11053132349394745,2015-10-15
CNN,2015.827,19,235,0.08085106382978724,0.1047548271726112,2015-10-22
CNN,2015.846,16,213,0.07511737089201878,0.06617884309656619,2015-10-29
CNN,2015.865,16,214,0.07476635514018691,0.06025179142483366,2015-11-05
CNN,2015.885,7,206,0.03398058252427184,0.06505735436220632,2015-11-12
CNN,2015.904,10,175,0.05714285714285714,0.08450135879749858,2015-11-19
CNN,2015.923,15,159,0.09433962264150944,0.11446775162796909,2015-11-26
CNN,2015.942,27,177,0.15254237288135594,0.1376820373422548,2015-12-03
CNN,2015.962,28,182,0.15384615384615385,0.14778507494428877,2015-12-10
CNN,2015.981,27,180,0.15,0.15905659634845573,2015-12-17
CNN,2016,19,141,0.1347517730496454,0.13982582711768649,2015-12-24
CNN,2016.019,50,253,0.1976284584980237,0.1424021629955491,2015-12-31
CNN,2016.038,22,286,0.07692307692307693,0.15332388516064704,2016-01-08
CNN,2016.058,42,262,0.16030534351145037,0.147578742367127,2016-01-15
CNN,2016.077,48,269,0.17843866171003717,0.1671897810459623,2016-01-22
CNN,2016.096,62,355,0.17464788732394365,0.1658039213585759,2016-01-29
CNN,2016.115,55,354,0.1553672316384181,0.17035155930185314,2016-02-05
CNN,2016.135,39,252,0.15476190476190477,0.21092139340078636,2016-02-12
CNN,2016.154,70,356,0.19662921348314608,0.23323549946967645,2016-02-19
CNN,2016.173,125,371,0.33692722371967654,0.2749021661363431,2016-02-26
CNN,2016.192,91,372,0.2446236559139785,0.28158678716418206,2016-03-04
CNN,2016.212,117,364,0.32142857142857145,0.25930188388913017,2016-03-11
CNN,2016.231,65,291,0.22336769759450173,0.24506473741763835,2016-03-18
CNN,2016.25,84,339,0.24778761061946902,0.21107856230243097,2016-03-25
CNN,2016.269,67,357,0.1876750700280112,0.19851829165057555,2016-04-01
CNN,2016.288,69,372,0.18548387096774194,0.1865713889957083,2016-04-08
CNN,2016.308,67,387,0.1731266149870801,0.2139947267518634,2016-04-15
CNN,2016.327,71,355,0.2,0.2677529579763362,2016-04-22
CNN,2016.346,113,380,0.29736842105263156,0.29757835383792125,2016-04-29
CNN,2016.365,155,387,0.4005167958656331,0.3123931686527361,2016-05-06
CNN,2016.385,112,383,0.2924281984334204,0.3147263211215369,2016-05-13
CNN,2016.404,105,405,0.25925925925925924,0.2954794750963051,2016-05-20
CNN,2016.423,119,388,0.30670103092783507,0.26534117548795005,2016-05-27
CNN,2016.442,121,374,0.3235294117647059,0.2551910837052052,2016-06-03
CNN,2016.462,55,320,0.171875,0.21545740672926017,2016-06-10
CNN,2016.481,75,343,0.21865889212827988,0.17640772311079286,2016-06-17
CNN,2016.5,43,291,0.14776632302405499,0.1710733817129434,2016-06-24
CNN,2016.519,42,251,0.16733067729083664,0.20080356313947215,2016-07-01
CNN,2016.538,42,279,0.15053763440860216,0.205241292728286,2016-07-08
CNN,2016.558,106,314,0.3375796178343949,0.24400563833094996,2016-07-15
CNN,2016.577,48,290,0.16551724137931034,0.34760990042366346,2016-07-22
CNN,2016.596,108,335,0.32238805970149254,0.34892928167935044,2016-07-29
CNN,2016.615,187,331,0.5649546827794562,0.3826865833563808,2016-08-05
CNN,2016.635,96,280,0.34285714285714286,0.3875127659231707,2016-08-12
CNN,2016.654,110,366,0.3005464480874317,0.31247347217534716,2016-08-19
CNN,2016.673,109,319,0.34169278996865204,0.30770474520031643,2016-08-26
CNN,2016.692,85,321,0.26479750778816197,0.28530250817845854,2016-09-02
CNN,2016.712,113,349,0.3237822349570201,0.27063402766742756,2016-09-09
CNN,2016.731,81,384,0.2109375,0.2744346507203871,2016-09-16
CNN,2016.75,105,371,0.2830188679245283,0.3103191573406092,2016-09-23
CNN,2016.769,112,400,0.28,0.3628143741773439,2016-09-30
CNN,2016.788,143,306,0.4673202614379085,0.37785511174166636,2016-10-07
CNN,2016.808,165,392,0.42091836734693877,0.36450535804708506,2016-10-14
CNN,2016.827,151,440,0.3431818181818182,0.3438291388414541,2016-10-21
CNN,2016.846,92,406,0.22660098522167488,0.36725808359008527,2016-10-28
CNN,2016.865,155,403,0.38461538461538464,0.41257675947941336,2016-11-04
CNN,2016.885,211,410,0.5146341463414634,0.4477344227785144,2016-11-11
CNN,2016.904,193,368,0.5244565217391305,0.4456399825652623,2016-11-18
CNN,2016.923,130,354,0.3672316384180791,0.4053652843637348,2016-11-25
CNN,2016.942,152,404,0.37623762376237624,0.32649983117762943,2016-12-02
CNN,2016.962,140,396,0.35353535353535354,0.2892373761185642,2016-12-09
CNN,2016.981,79,378,0.20899470899470898,0.27023082430059175,2016-12-16
CNN,2017,72,330,0.21818181818181817,0.27015867422844164,2016-12-23
CNN,2017.019,142,473,0.30021141649048627,0.33885762790245766,2016-12-30
CNN,2017.038,136,385,0.35324675324675325,0.4278820181463601,2017-01-08
CNN,2017.058,194,401,0.4837905236907731,0.45732354604621045,2017-01-15
CNN,2017.077,259,451,0.5742793791574279,0.46811544339189265,2017-01-22
CNN,2017.096,186,445,0.41797752808988764,0.4486529609840509,2017-01-29
CNN,2017.115,199,502,0.39641434262948205,0.3892464628082397,2017-02-05
CNN,2017.135,205,505,0.40594059405940597,0.3833950870488158,2017-02-12
CNN,2017.154,169,502,0.33665338645418325,0.3616587069341705,2017-02-19
CNN,2017.173,189,479,0.3945720250521921,0.3435068917526523,2017-02-26
CNN,2017.192,134,433,0.3094688221709007,0.3313774434441913,2017-03-05
CNN,2017.212,148,444,0.3333333333333333,0.29330712440581286,2017-03-12
CNN,2017.231,102,354,0.288135593220339,0.2861255337122756,2017-03-19
CNN,2017.25,110,454,0.2422907488986784,0.26773472911457447,2017-03-26
CNN,2017.269,121,431,0.28074245939675174,0.26704786277296005,2017-04-02
CNN,2017.288,113,435,0.2597701149425287,0.2996399695557811,2017-04-09
CNN,2017.308,125,438,0.2853881278538813,0.3137990149007679,2017-04-16
CNN,2017.327,199,534,0.37265917602996257,0.3316640571430537,2017-04-23
CNN,2017.346,139,412,0.33737864077669905,0.36102125053169604,2017-04-30
CNN,2017.365,105,317,0.3312302839116719,0.34394341304594456,2017-05-07
CNN,2017.385,143,355,0.4028169014084507,0.33510636706496777,2017-05-14
CNN,2017.404,119,391,0.30434782608695654,0.33764622811121897,2017-05-21
CNN,2017.423,119,394,0.3020304568527919,0.3037943704471286,2017-05-28
CNN,2017.442,113,331,0.3413897280966767,0.27657959437651725,2017-06-04
CNN,2017.462,96,359,0.26740947075208915,0.2729805823138569,2017-06-11
CNN,2017.481,78,399,0.19548872180451127,0.2873599262459719,2017-06-18
CNN,2017.5,107,372,0.28763440860215056,0.33454264627724783,2017-06-25
CNN,2017.519,146,366,0.3989071038251366,0.3763371324927867,2017-07-02
CNN,2017.538,156,342,0.45614035087719296,0.3751091586145004,2017-07-09
CNN,2017.558,136,375,0.3626666666666667,0.39903829663671087,2017-07-16
CNN,2017.577,108,382,0.28272251308900526,0.385281760449446,2017-07-23
CNN,2017.596,184,372,0.4946236559139785,0.3957122724661649,2017-07-30
CNN,2017.615,144,359,0.4011142061281337,0.457069177705978,2017-08-06
CNN,2017.635,129,319,0.4043887147335423,0.3746143810459191,2017-08-13
CNN,2017.654,197,373,0.5281501340482574,0.32365089800703634,2017-08-20
CNN,2017.673,59,358,0.164804469273743,0.2697829384672276,2017-08-27
CNN,2017.692,72,365,0.19726027397260273,0.20069504524293305,2017-09-03
CNN,2017.712,75,397,0.1889168765743073,0.2265843234047233,2017-09-10
CNN,2017.731,105,417,0.2517985611510791,0.22700400292218267,2017-09-17
CNN,2017.75,95,354,0.268361581920904,0.2603573080504505,2017-09-24
CNN,2017.769,75,377,0.1989389920424403,0.27213592863224595,2017-10-01
CNN,2017.788,166,515,0.32233009708737864,0.2945772135927913,2017-10-08
CNN,2017.808,110,368,0.29891304347826086,0.32153863077392164,2017-10-15
CNN,2017.827,130,363,0.3581267217630854,0.3183041728004195,2017-10-22
CNN,2017.846,104,339,0.30678466076696165,0.3040478883320342,2017-10-29
CNN,2017.865,112,362,0.30939226519337015,0.2842675891067325,2017-11-05
CNN,2017.885,82,339,0.24188790560471976,0.2812979654699519,2017-11-12
CNN,2017.904,101,362,0.27900552486187846,0.28728323250494264,2017-11-19
CNN,2017.923,110,373,0.2949061662198391,0.29159784146961637,2017-11-26
CNN,2017.942,123,369,0.3333333333333333,0.30294765073033725,2017-12-03
CNN,2017.962,85,328,0.25914634146341464,0.3207104708775051,2017-12-10
CNN,2017.981,109,336,0.3244047619047619,0.33052782247567863,2017-12-17
CNN,2018,86,235,0.3659574468085106,0.39435860045387644,2017-12-24
CNN,2018.019,136,365,0.3726027397260274,0.38426332713744926,2017-12-31
CNN,2018.038,160,311,0.5144694533762058,0.3837502967962684,2018-01-08
CNN,2018.058,96,338,0.28402366863905326,0.3630928367970108,2018-01-15
CNN,2018.077,123,338,0.363905325443787,0.28823195013689723,2018-01-22
CNN,2018.096,107,369,0.2899728997289973,0.2647466941341587,2018-01-29
CNN,2018.115,83,386,0.21502590673575128,0.24325460346089103,2018-02-05
CNN,2018.135,69,363,0.19008264462809918,0.25347742791135774,2018-02-12
CNN,2018.154,97,349,0.27793696275071633,0.30627832827660023,2018-02-19
CNN,2018.173,134,405,0.3308641975308642,0.33382469124826175,2018-02-26
CNN,2018.192,156,366,0.4262295081967213,0.3649151632042609,2018-03-05
CNN,2018.212,112,373,0.3002680965147453,0.36095806370221306,2018-03-12
CNN,2018.231,140,348,0.40229885057471265,0.3398658029321025,2018-03-19
CNN,2018.25,132,419,0.315035799522673,0.3703228581235295,2018-03-26
CNN,2018.269,147,430,0.34186046511627904,0.3596664016106415,2018-04-02
CNN,2018.288,149,353,0.42209631728045327,0.35564971977121035,2018-04-09
CNN,2018.308,132,367,0.35967302452316074,0.37535287272290985,2018-04-16
CNN,2018.327,116,388,0.29896907216494845,0.34679776714981325,2018-04-23
CNN,2018.346,175,416,0.4206730769230769,0.3281464793448149,2018-04-30
CNN,2018.365,129,419,0.30787589498806683,0.32731166631643127,2018-05-07
CNN,2018.385,126,442,0.2850678733031674,0.3124382373805023,2018-05-14
CNN,2018.404,115,389,0.29562982005141386,0.3370952798936482,2018-05-21
CNN,2018.423,147,407,0.36117936117936117,0.3610664068059516,2018-05-28
CNN,2018.442,150,369,0.4065040650406504,0.3678818433593632,2018-06-04
CNN,2018.462,152,399,0.38095238095238093,0.35408973530496,2018-06-11
CNN,2018.481,134,415,0.3228915662650602,0.315507197305667,2018-06-18
CNN,2018.5,112,366,0.30601092896174864,0.307257406161139,2018-06-25
CNN,2018.519,87,345,0.25217391304347825,0.34191912997948937,2018-07-02
CNN,2018.538,119,342,0.347953216374269,0.3708456906683451,2018-07-09
CNN,2018.558,156,338,0.46153846153846156,0.3872595767485608,2018-07-16
CNN,2018.577,167,396,0.4217171717171717,0.36612208850580946,2018-07-23
CNN,2018.596,123,387,0.3178294573643411,0.32273747312119405,2018-07-30
CNN,2018.615,113,429,0.2634032634032634,0.3040691056417726,2018-08-06
CNN,2018.635,108,375,0.288,0.2843678388616629,2018-08-13
CNN,2018.654,135,389,0.34704370179948585,0.28338188787571195,2018-08-20
CNN,2018.673,98,410,0.23902439024390243,0.25620512019894426,2018-08-27
CNN,2018.692,96,370,0.2594594594594595,0.22801907397612595,2018-09-03
CNN,2018.712,71,396,0.17929292929292928,0.23620722728623048,2018-09-10
CNN,2018.731,97,414,0.23429951690821257,0.21554526097209023,2018-09-17
CNN,2018.75,78,287,0.27177700348432055,0.22206131436314364,2018-09-24
CNN,2018.769,61,345,0.17681159420289855,0.2311556080684213,2018-10-01
CNN,2018.788,69,336,0.20535714285714285,0.2311125917652424,2018-10-08
CNN,2018.808,108,399,0.2706766917293233,0.2710742817431961,2018-10-15
CNN,2018.827,88,324,0.2716049382716049,0.30870558426420447,2018-10-22
CNN,2018.846,135,401,0.33665835411471323,0.3054854757809381,2018-10-29
CNN,2018.865,121,340,0.3558823529411765,0.33575497292035394,2018-11-05
CNN,2018.885,124,481,0.2577962577962578,0.33372467695762287,2018-11-12
CNN,2018.904,161,410,0.3926829268292683,0.2973497171376293,2018-11-19
CNN,2018.923,137,417,0.328537170263789,0.3234178940678752,2018-11-26
CNN,2018.942,77,366,0.2103825136612022,0.33090536097487683,2018-12-03
CNN,2018.962,147,406,0.3620689655172414,0.32762411500391164,2018-12-10
CNN,2018.981,183,433,0.4226327944572748,0.3403693956795202,2018-12-17
CNN,2019,88,279,0.3154121863799283,0.3383477295214488,2018-12-24
CNN,2019.019,138,528,0.26136363636363635,0.3052877841822393,2018-12-31
CNN,2019.038,160,452,0.35398230088495575,0.29421469829452634,2019-01-08
CNN,2019.058,133,458,0.2903930131004367,0.29745355574058224,2019-01-15
CNN,2019.077,138,509,0.27111984282907664,0.27293257217088596,2019-01-22
CNN,2019.096,141,514,0.27431906614785995,0.267115140813585,2019-01-29
CNN,2019.115,141,551,0.2558983666061706,0.25629082526760616,2019-02-05
CNN,2019.135,156,584,0.2671232876712329,0.26832108051713355,2019-02-12
CNN,2019.154,113,496,0.22782258064516128,0.27224772343349213,2019-02-19
CNN,2019.173,148,459,0.3224400871459695,0.26242254667697423,2019-02-26
CNN,2019.192,154,567,0.2716049382716049,0.2723885076342308,2019-03-05
CNN,2019.212,113,496,0.22782258064516128,0.25125970230569905,2019-03-12
CNN,2019.231,140,523,0.2676864244741874,0.2568878795025037,2019-03-19
CNN,2019.25,133,559,0.23792486583184258,0.268255215707673,2019-03-26
CNN,2019.269,160,544,0.29411764705882354,0.26042451868003524,2019-04-02
CNN,2019.288,132,483,0.2732919254658385,0.26604746888874126,2019-04-09
CNN,2019.308,91,385,0.23636363636363636,0.24630904073059276,2019-04-16
CNN,2019.327,125,480,0.2604166666666667,0.25139875777683157,2019-04-23
CNN,2019.346,105,488,0.2151639344262295,0.2559594399757047,2019-04-30
CNN,2019.365,148,504,0.29365079365079366,0.28093160918690063,2019-05-07
CNN,2019.385,152,597,0.254606365159129,0.29892280379816505,2019-05-14
CNN,2019.404,236,655,0.3603053435114504,0.30116294716734066,2019-05-21
CNN,2019.423,174,606,0.2871287128712871,0.321417820801905,2019-05-28
CNN,2019.442,197,651,0.30261136712749614,0.3083986676297607,2019-06-04
CNN,2019.462,244,727,0.3356258596973865,0.2848008469538384,2019-06-11
CNN,2019.481,221,717,0.3082287308228731,0.2572801890800103,2019-06-18
CNN,2019.5,138,716,0.19273743016759776,0.23569566147760102,2019-06-25
CNN,2019.519,134,696,0.1925287356321839,0.23921699116857695,2019-07-02
CNN,2019.538,175,702,0.2492877492877493,0.2348505684092862,2019-07-09
CNN,2019.558,234,726,0.32231404958677684,0.23441575292229286,2019-07-16
CNN,2019.577,129,736,0.17527173913043478,0.2491800956569326,2019-07-23
CNN,2019.596,116,608,0.19078947368421054,0.2290265500597072,2019-07-30
CNN,2019.615,218,707,0.30834512022630833,0.27255386974752494,2019-08-06
CNN,2019.635,182,753,0.24169986719787517,0.2720857204700491,2019-08-13
CNN,2019.654,254,727,0.3493810178817056,0.23621565662968824,2019-08-20
CNN,2019.673,150,794,0.1889168765743073,0.2337333981635528,2019-08-27
CNN,2019.692,122,740,0.16486486486486487,0.21026622410817178,2019-09-03
CNN,2019.712,178,768,0.23177083333333334,0.256597611025201,2019-09-10
CNN,2019.731,197,771,0.25551232166018156,0.297118304132101,2019-09-17
CNN,2019.75,247,660,0.37424242424242427,0.3011139783404878,2019-09-24
CNN,2019.769,256,783,0.3269476372924649,0.3074329422604178,2019-10-01
CNN,2019.788,193,779,0.24775353016688062,0.2801724655659178,2019-10-08
